"ID da resposta","Data de envio","Última página","Idioma inicial","Data de início","Data da última ação","Endereço IP","Qual é o seu gênero?","Qual a sua cor ou raça?","Ano de nascimento","Qual é o seu mais alto nível de escolaridade?","Em relação a sua organização, avalie o seu grau de concordância com as seguintes afirmações:  	  [I-Meu órgão de trabalho é capaz de recrutar pessoas com as habilidades corretas.]","Em relação a sua organização, avalie o seu grau de concordância com as seguintes afirmações:  	  [II-Promoções em meu órgão de trabalho são baseadas no mérito.]","Em relação a sua organização, avalie o seu grau de concordância com as seguintes afirmações:  	  [III-Indicações para cargos comissionados deveriam ser baseadas no mérito.]","Qual o seu nível de satisfação com o reconhecimento que você recebe por fazer um bom trabalho?","Avalie o grau de importância dos itens a seguir para nomeação a cargos comissionados.   	  [I-Competência técnica.]","Avalie o grau de importância dos itens a seguir para nomeação a cargos comissionados.   	  [II-Afiliação a partidos políticos.]","Avalie o grau de importância dos itens a seguir para nomeação a cargos comissionados.   	  [III-Especialização na carreira.]","Avalie o grau de importância dos itens a seguir para nomeação a cargos comissionados.   	  [IV-Rede de relacionamento pessoal.]","Avalie o seu grau de concordância com os itens a seguir:  	  [I-Minha percepção é que o governo utiliza ao máximo minhas habilidades.]","Avalie o seu grau de concordância com os itens a seguir:  	  [II-Em meu atual cargo sinto-me encorajado a trazer novos e melhores modos de trabalho.]","Avalie o seu grau de concordância com os itens a seguir:  	  [III-Tenho condições para tomar decisões próprias na realização do meu trabalho.]","Avalie o seu grau de concordância com os itens a seguir:  	  [IV-A aprovação de um projeto depende das minhas considerações técnicas]","Qual o nível de satisfação com o seu envolvimento nas decisões que afetam seu trabalho?","Com que frequência regras e regulamentos formais impedem que você execute seu trabalho?","Avalie o seu grau de concordância com os itens a seguir:  	  [I-Uma carreira no setor público é desejada entre os graduados das melhores universidades do país.]","Avalie o seu grau de concordância com os itens a seguir:  	  [II-Servidores nunca se beneficiam de seus cargos, exceto pelo seu salário.]","Avalie o seu grau de concordância com os itens a seguir:  	  [III-Servidores são politicamente neutros no desempenho de suas funções.]","Avalie o seu grau de concordância com os itens a seguir:  	  [IV-Servidores devem obedecer estritamente aos seus superiores.]","Avalie o seu grau de concordância com os itens a seguir:  	  [V-Servidores possuem liberdade para substituir regras formais em favor de seu próprio julgamento.]","Ter conexões políticas pode ser importante no setor público em algumas ocasiões.   	Avalie o grau de importância dos itens a seguir: [I-Obter um aumento salarial.]","Ter conexões políticas pode ser importante no setor público em algumas ocasiões.   	Avalie o grau de importância dos itens a seguir: [II-Alcançar o objetivo da política pública.]","Avalie o seu grau de concordância com os itens a seguir:  [I-A cultura organizacional de meu órgão dificulta práticas de corrupção]","Avalie o seu grau de concordância com os itens a seguir:  [II-Organizações da sociedade civil são capazes de participar do processo de tomada de decisão das políticas do meu órgão.]","Avalie o seu grau de concordância com os itens a seguir:  [III-Minha organização é cobrada em relação à obtenção de resultados.]","Avalie o seu grau de concordância com os itens a seguir:  [IV-O desempenho da minha organização é bem avaliado pela sociedade.]","Avalie o seu grau de concordância com os itens a seguir:  [V-A gestão das políticas de competência do meu órgão conta com instrumentos de coordenação entre diferentes níveis de governo.]","Avalie o seu grau de concordância com os itens a seguir:  [VI-A sociedade respeita as autoridades governamentais não eleitas.]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [I-Recursos humanos.]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [II-Orçamento.]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [III-Recursos tecnológicos.]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [IV-Estabilidade do quadro dirigente.]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [V-Processos de planejamento, monitoramento e avaliação.]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [VI-Legislação.]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [VII-Instrumentos de relacionamento com o Poder Judiciário e o Ministério Público.]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [VIII-Instrumentos de relacionamento com o Poder Legislativo.]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [IX-Instrumentos de coordenação interfederativa com estados e municípios.]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [X-Auditorias e processos de controle.]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [XI-Instrumentos de participação social.]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [XII-Acesso aos principais decisores políticos]","Os itens a seguir são obstáculos ao bom desempenho do seu órgão?  [XIII-Interferência político-partidária]","Nos últimos 12 meses, com que frequência você interagiu com:  	  [I-Outras organizações ou agências ligadas ao seu órgão.]","Nos últimos 12 meses, com que frequência você interagiu com:  	  [II-Órgãos de outros ministérios.]","Nos últimos 12 meses, com que frequência você interagiu com:  	  [III-Congresso/Parlamentares.]","Nos últimos 12 meses, com que frequência você interagiu com:  	  [IV-Judiciário/Membros do judiciário.]","Nos últimos 12 meses, com que frequência você interagiu com:  	  [V-Órgãos de controle (TCU, CGU, Ministérios Público).]","Nos últimos 12 meses, com que frequência você interagiu com:  	  [VI-Prefeituras.]","Nos últimos 12 meses, com que frequência você interagiu com:  	  [VII-Governos estaduais.]","Nos últimos 12 meses, com que frequência você interagiu com:  	  [VIII-Empresas privadas]","Nos últimos 12 meses, com que frequência você interagiu com:  	  [IX-Organizações internacionais.]","Nos últimos 12 meses, com que frequência você interagiu com:  	  [X-Organizações da sociedade civil.]","Nos últimos 12 meses, com que frequência você interagiu com:  	  [XI-Universidades e institutos de pesquisa.]","Os servidores de sua organização possuem as habilidades descritas abaixo? Avalie o seu grau de concordância com os itens a seguir: [I-Conhecimentos das políticas públicas do setor de atuação.]","Os servidores de sua organização possuem as habilidades descritas abaixo? Avalie o seu grau de concordância com os itens a seguir: [II-Habilidades de pesquisa.]","Os servidores de sua organização possuem as habilidades descritas abaixo? Avalie o seu grau de concordância com os itens a seguir: [III-Habilidades para analisar políticas públicas.]","Os servidores de sua organização possuem as habilidades descritas abaixo? Avalie o seu grau de concordância com os itens a seguir: [IV-Liderança.]","Os servidores de sua organização possuem as habilidades descritas abaixo? Avalie o seu grau de concordância com os itens a seguir: [V-Habilidades para gerenciamento de conflitos.]","Os servidores de sua organização possuem as habilidades descritas abaixo? Avalie o seu grau de concordância com os itens a seguir: [VI-Habilidades de construção de relações interpessoais.]","Os servidores de sua organização possuem as habilidades descritas abaixo? Avalie o seu grau de concordância com os itens a seguir: [VII-Habilidade de comunicação.]","Atualmente, sua organização alcançou mais ou menos resultados comparado a cinco anos atrás?","Avalie o seu grau de concordância com os itens a seguir:  	  [As políticas produzidas pela organização a qual pertenço atingiram os resultados esperados.]","Avalie o seu grau de concordância com os itens a seguir:  	  [Os recursos disponíveis foram suficientes para o cumprimento das funções da organização à qual pertenço.]","Avalie o seu grau de concordância com os itens a seguir:  	  [As habilidades requeridas dos integrantes da organização a que pertenço estiveram adequadas para o alcance de seus objetivos]","Avalie o seu grau de concordância com os itens a seguir:  	  [Minha organização é criativa e inovadora.]","Há quantos anos você atua no serviço público?","Qual é o seu vínculo com a administração pública?","Qual é o seu vínculo com a administração pública? [Outros]","Qual é a sua carreira?  ","Sua organização pertence a qual ministério?","Sua organização pertence a qual ministério? [Outros]","Você trabalha no Distrito Federal ou em outra unidade da Federação?","Em que tipo de organização você trabalha atualmente?","Em qual órgão você trabalha atualmente?","Você possui cargo comissionado?","Qual é o seu cargo comissionado?","Você é filiado a algum partido político?","I) Dois servidores pertencem à mesma carreira, porém um está a mais tempo no cargo que o outro. O servidor com menos tempo apresenta maiores habilidades técnicas e obtém nomeação a cargo comissionado antes do servidor mais antigo na carreira.  	 ","II) Um servidor público proveniente de uma família influente trabalha em um órgão que deseja estabelecer parcerias com o empresariado local. Este servidor é promomovido, nomeado para um cargo de confiança, em detrimento de outros servidores com as mesmas competências técnicas e tempo de serviço. ","III) O governo adota um sistema de promoção nas carreiras com base em pontuação e com o objetivo de promover a diversidade concede pontos extras para minorias étnico-raciais.  ","IV) O governo adota um sistema de promoção nas carreiras com base em pontuação e com o objetivo de promover a diversidade concede pontos extras para mulheres.","Tempo total"
"10","2018-05-09 14:26:14","10","pt-BR","2018-05-09 14:18:24","2018-05-09 14:26:14","10.1.38.62","M","2","1982","4","4","3","3","3","3","1","3","3","5","4","3","2","4","1","5","4","3","2","1","1","999","5","999","1","2","3","4","5","4","3","2","1","999","1","2","3","4","5","4","3","2","1","5","999","1","2","3","4","5","4","3","5","4","3","2","1","999","1","4","5","4","4","3","2","1","","3","A16","","1","3","IPEA","1","2","0","2","3","1","4","474.89"
"11","2018-05-10 10:58:03","10","pt-BR","2018-05-10 10:52:11","2018-05-10 10:58:03","10.1.49.52","F","4","1989","2","2","1","999","1","4","3","2","1","2","3","4","1","1","2","1","2","3","4","3","4","3","999","1","2","5","3","1","2","4","3","2","3","4","1","2","3","999","3","4","2","999","1","2","3","4","5","4","3","2","1","999","2","3","4","5","4","3","999","2","3","4","1","999","5","3","","4","A12","","2","999","DSV","2","","2","2","999","4","1","356.73"
"12","2018-05-10 11:17:48","10","pt-BR","2018-05-10 11:04:58","2018-05-10 11:17:48","10.1.45.50","F","2","1996","2","4","3","4","3","4","1","3","4","2","4","3","3","2","999","2","2","2","4","3","3","3","4","4","4","5","4","999","3","4","999","999","2","2","3","3","4","999","2","3","5","999","3","999","4","4","1","999","1","999","999","5","5","5","4","3","3","3","3","999","999","999","999","999","1","999","","4","A16","","1","3","Instituto de Pesquisa Econômica Aplicada","2","","0","4","1","3","3","775.22"
"13","2018-05-10 11:13:36","10","pt-BR","2018-05-10 11:10:56","2018-05-10 11:13:36","10.1.49.8","F","2","1900","4","5","4","4","3","4","4","3","3","5","4","4","4","5","5","5","4","3","2","999","4","999","5","5","5","5","5","5","999","1","999","999","999","999","999","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5","5","4","1","1","6","-oth-","Bolsista","1","A14","","2","2","Instituto de Pesquisa Economica Aplicada","1","3","0","3","1","1","1","164.5"
"15","2018-05-15 11:03:47","10","pt-BR","2018-05-15 10:50:55","2018-05-15 11:03:47","Invalid","M","4","1959","1","3","2","3","3","3","1","3","4","999","2","3","2","4","3","3","3","2","4","2","2","1","4","4","4","4","4","4","4","5","5","3","4","4","3","3","3","3","4","4","4","4","4","1","1","1","3","3","4","999","3","3","3","2","2","3","3","3","3","5","4","4","3","3","3","3","","2","A1","","1","1","MINISTERIO DA AGRICULTURA PECUARIA E ABASTECIMENTO","1","2","0","3","3","2","2","775.89"
"16","2018-05-15 11:04:33","10","pt-BR","2018-05-15 10:53:58","2018-05-15 11:04:33","189.9.32.130","F","2","1983","3","2","3","5","3","4","1","4","4","1","3","2","4","4","4","5","1","2","2","2","4","2","3","2","3","4","4","4","5","5","5","3","2","2","4","4","3","3","2","3","5","1","1","1","1","1","1","1","1","1","1","1","3","3","3","2","2","2","2","3","3","2","2","2","1","3","","3","A25","","1","1","Procuradoria Geral da União","2","","0","4","1","3","3","639.82"
"17","2018-05-15 11:04:50","10","pt-BR","2018-05-15 10:54:51","2018-05-15 11:04:50","200.132.5.2","M","999","1973","4","2","4","4","4","4","1","3","3","4","3","3","3","2","4","3","4","4","2","2","1","3","999","999","4","2","1","999","4","4","2","4","4","5","5","4","4","5","3","4","5","3","1","1","1","1","1","1","5","3","1","1","2","4","2","1","2","2","2","3","3","2","4","5","2","3","","3","A3","","2","4","Centro Nacional de Tecnologia Eletrônica Avançada S. A.","2","","0","4","3","1","1","602.02"
"18","2018-05-15 11:05:05","10","pt-BR","2018-05-15 10:54:53","2018-05-15 11:05:05","189.125.211.126","M","2","1985","2","5","3","5","5","4","1","3","2","4","5","5","2","5","2","2","4","4","3","1","4","3","4","999","5","3","5","4","1","1","1","1","1","1","1","1","1","1","1","1","5","3","2","1","1","2","1","1","5","1","1","1","5","5","5","5","1","4","4","3","5","4","4","5","1","1","","2","A14","","1","2","Agência Nacional de Águas","2","","0","4","1","2","2","616.98"
"19","2018-05-15 11:29:57","10","pt-BR","2018-05-15 10:55:17","2018-05-15 11:29:57","177.15.64.30","F","2","1973","5","2","2","4","3","3","1","2","3","2","2","3","3","4","2","3","3","2","2","2","2","3","3","4","2","3","1","3","3","1","2","2","4","2","999","4","4","2","4","4","3","4","4","1","1","1","2","2","2","2","2","2","2","2","2","2","2","4","4","3","2","4","2","3","3","1","","3","A14","","1","2","AGENCIA NACIONAL DE AGUAS","2","","0","4","2","1","1","2083.73"
"20","2018-05-15 11:05:07","10","pt-BR","2018-05-15 10:55:47","2018-05-15 11:05:07","Invalid","F","2","1982","2","1","2","4","1","3","1","3","2","2","2","3","2","1","3","3","2","2","3","1","2","4","1","2","4","2","1","2","4","3","4","4","4","5","3","3","4","4","5","4","5","2","1","2","1","1","1","1","5","2","1","2","2","3","2","3","3","3","3","3","3","2","2","3","3","1","","3","A1","","1","1","Ministério da Agricultura, Pecuária e Abastecimento","2","","0","3","2","2","2","562.95"
"22","2018-05-15 11:05:26","10","pt-BR","2018-05-15 10:56:30","2018-05-15 11:05:26","200.198.216.232","M","999","1975","5","2","2","5","4","4","1","4","2","1","3","2","3","3","4","4","3","2","2","2","3","2","3","4","4","3","3","3","5","5","5","5","3","4","4","4","4","3","3","4","5","4","2","2","2","2","1","1","4","2","1","2","4","4","4","3","3","3","4","4","3","2","3","3","2","1","","3","A18","","1","2","Anvisa","1","2","0","4","1","1","1","540.15"
"23","2018-05-15 11:20:35","10","pt-BR","2018-05-15 10:56:41","2018-05-15 11:20:35","177.79.84.89","M","4","1971","3","3","2","4","4","4","2","3","4","2","4","4","3","4","3","5","2","2","4","2","1","3","4","4","4","4","2","4","4","5","5","3","2","3","2","2","2","2","2","2","2","4","1","3","3","2","3","3","4","1","4","4","4","2","4","4","4","3","2","4","4","2","3","2","3","3","","2","A1","","2","4","CONAB - Companhia Nacional de Abastecimento","1","1","1","4","999","1","1","1440.42"
"24","2018-05-15 12:59:05","10","pt-BR","2018-05-15 10:56:58","2018-05-15 12:59:05","177.15.64.30","M","2","1979","5","2","4","5","4","4","2","2","3","2","4","5","4","4","2","4","2","2","4","2","2","3","4","5","3","4","4","5","5","1","1","1","2","2","2","2","5","2","4","5","1","4","4","3","3","2","3","3","4","3","3","3","4","4","4","4","5","4","4","4","4","4","3","3","3","1","","3","A14","","1","2","Agência Nacional de Águas","1","3","0","4","2","2","3","7330.56"
"25","2018-05-15 11:17:41","10","pt-BR","2018-05-15 10:57:53","2018-05-15 11:17:41","177.12.72.37","F","2","1974","4","4","1","5","1","4","1","4","2","1","1","5","1","2","3","5","1","4","1","4","4","3","4","4","5","4","1","5","4","5","5","1","2","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","2","1","1","5","2","2","2","2","2","2","4","4","1","2","4","5","1","","3","A10","","2","2","Comissao de Valores Mobiliarios - CVM","2","","0","4","1","1","1","1191.61"
"27","2018-05-15 11:10:27","10","pt-BR","2018-05-15 10:58:12","2018-05-15 11:10:27","191.6.126.13","M","4","1987","3","3","3","5","4","4","2","4","4","2","2","2","2","3","4","4","4","2","3","2","3","4","3","4","4","3","4","3","4","3","2","2","3","2","4","3","3","3","3","3","2","2","2","1","1","1","3","2","1","2","2","1","4","3","4","3","3","3","3","4","3","3","3","3","1","-oth-","CONTRATO TEMPORÁRIO","2","A27","","2","1","Secretaria Especial de Agricultura Familiar e do Desenvolvimento Agrário - SEAD Atuando no programa Terra Legal - Amapá","2","","0","4","2","2","3","740.93"
"28","2018-05-15 13:45:10","10","pt-BR","2018-05-15 10:58:15","2018-05-15 13:45:10","200.0.81.86","F","2","1977","2","4","2","5","3","4","1","4","3","2","4","3","2","2","3","4","2","3","1","1","3","3","3","4","5","1","1","1","4","3","4","4","2","5","3","4","4","4","1","4","5","2","2","1","2","2","1","1","2","1","2","2","4","4","4","3","3","5","5","2","3","3","4","3","2","1","","3","A3","","1","2","Agência Nacional de Telecomunicações","1","1","0","4","1","1","1","10019"
